id,name_en,name_ja,symbol,degrees,orb_standard,type_ja,nature_ja,keywords_ja,description_ja,interpretation_ja
1,Conjunction,コンジャンクション（合）,☌,0,8,メジャー,中性（関係する天体による）,融合|強烈さ|合一|混合|集中|新しい始まり,コンジャンクション（合）は2つの天体が同じ度数（0度）に位置するアスペクト。両天体のエネルギーが融合し、強烈に表れる。関係する天体の性質によって吉凶が異なる。太陽と月のコンジャンクションは新月を示し、新しいサイクルの始まりを意味する。,2天体のエネルギーが一体化し、その分野が人生の重要なテーマとなる。天体の性質が強化され、集中的に表れる。
2,Sextile,セクスタイル（六分）,⚹,60,6,メジャー,調和的,機会|協力|才能|容易さ|コミュニケーション|サポート,セクスタイル（六分）は2つの天体が60度の角度を形成するアスペクト。調和的で好機をもたらす。トラインより弱いが、積極的に活用すれば大きな恩恵を得られる。異なる元素（火と風、地と水）の星座間で形成されることが多い。,才能・機会・協力のエネルギー。努力することで活かせる好機。コミュニケーションと協力が鍵。
3,Square,スクエア（四分）,□,90,8,メジャー,困難・緊張,緊張|対立|挑戦|摩擦|行動|苦闘を通じた成長,スクエア（四分）は2つの天体が90度の角度を形成するアスペクト。緊張・対立・挑戦をもたらすが、その摩擦が成長の原動力となる。同じモダリティ（活動・不動・柔軟）の異なる元素の星座間で形成される。困難なアスペクトだが、克服することで大きな力となる。,緊張と対立のエネルギー。2天体のエネルギーが衝突し、課題や摩擦が生じる。しかし、この緊張が行動と成長の原動力となる。
4,Trine,トライン（三分）,△,120,8,メジャー,調和的・恵み,調和|流れ|生まれつきの才能|容易さ|優雅さ|恵み|創造性,トライン（三分）は2つの天体が120度の角度を形成するアスペクト。最も調和的で恵みをもたらすアスペクト。同じ元素（火・地・風・水）の星座間で形成される。生まれつきの才能・自然な流れ・恵みを示す。ただし、容易すぎるため怠惰になる危険もある。,調和と才能のエネルギー。2天体のエネルギーが自然に流れ、生まれつきの才能や恵みをもたらす。最も吉祥なアスペクト。
5,Opposition,オポジション（衝）,☍,180,8,メジャー,困難・対立,対立|二極性|気づき|人間関係|バランス|投影,オポジション（衝）は2つの天体が180度の角度を形成するアスペクト。対立・二極性・バランスを示す。対向する星座間で形成される。自分の中の対立する力・他者との対立・投影のパターンを示す。バランスを取ることで統合と成長が生まれる。,対立と二極性のエネルギー。2天体のエネルギーが引っ張り合い、バランスを求める。他者との関係を通じて気づきを得る。
6,Semi-Sextile,セミセクスタイル（三十分）,⊻,30,2,マイナー,穏やかな調和,微妙なつながり|穏やかな機会|調整,セミセクスタイル（三十分）は2つの天体が30度の角度を形成するマイナーアスペクト。穏やかな調和と微妙なつながりを示す。隣接する星座間で形成される。,穏やかな調和のエネルギー。微妙なつながりと調整が必要な関係。
7,Semi-Square,セミスクエア（四十五分）,∠,45,2,マイナー,穏やかな緊張,苛立ち|摩擦|軽い緊張|調整が必要,セミスクエア（四十五分）は2つの天体が45度の角度を形成するマイナーアスペクト。スクエアより弱い緊張と摩擦を示す。,軽い緊張と摩擦のエネルギー。調整と意識的な取り組みが必要。
8,Sesquiquadrate,セスキクアドレート（百三十五分）,⊼,135,2,マイナー,穏やかな緊張,焦り|摩擦|落ち着きのなさ|調整,セスキクアドレート（百三十五分）は2つの天体が135度の角度を形成するマイナーアスペクト。セミスクエアと同様の緊張と焦りを示す。,焦りと摩擦のエネルギー。行動を促す軽い緊張。
9,Quincunx (Inconjunct),クインカンクス（クインカンクス・百五十分）,⚻,150,3,マイナー,ぎこちない・調整困難,調整|健康|奉仕|ぎこちないつながり|方向転換,クインカンクス（百五十分）は2つの天体が150度の角度を形成するアスペクト。ぎこちなく調整困難な関係を示す。2つの天体は元素もモダリティも共有しないため、自然な調和が難しい。健康問題や方向転換を示すことが多い。,ぎこちない調整のエネルギー。2天体のエネルギーが自然に噛み合わず、継続的な調整が必要。健康や奉仕のテーマと関連することが多い。
10,Quintile,クインタイル（七十二分）,Q,72,2,マイナー,創造的,創造性|才能|ユニークな才能|特別な能力,クインタイル（七十二分）は2つの天体が72度の角度を形成するマイナーアスペクト。創造的な才能と特別な能力を示す。,創造的な才能のエネルギー。特別な能力と独自の才能を示す。
