planet,planet_en,house,house_name,keyword,interpretation,luck_area,expansion
木星,Jupiter,1,第1ハウス（自己・外見・人生の始まり）,自己への幸運・豊かな個性,木星が第1ハウスにある人は、楽観的で豊かな個性を持ちます。幸運が自己表現と外見に宿り、人から好かれやすい。人生全体に楽観的なエネルギーが流れます。,自己・外見・人生のスタート,自己表現と個性の拡大
木星,Jupiter,2,第2ハウス（財産・価値観・自己価値）,財産への幸運・豊かさの引き寄せ,木星が第2ハウスにある人は、財産と物質的な豊かさに幸運が宿ります。お金を引き寄せる能力があり、価値あるものを生み出す才能を持ちます。,財産・価値観,物質的な豊かさの拡大
木星,Jupiter,3,第3ハウス（コミュニケーション・兄弟・短距離移動）,コミュニケーションへの幸運・知識の拡大,木星が第3ハウスにある人は、コミュニケーションと学習に幸運が宿ります。言葉と知識を通じて豊かさを引き寄せ、教育と情報共有に才能があります。,コミュニケーション・学習,知識とコミュニケーションの拡大
木星,Jupiter,4,第4ハウス（家族・家庭・ルーツ）,家族への幸運・豊かな家庭,木星が第4ハウスにある人は、家族と家庭に幸運が宿ります。豊かな家庭環境に恵まれ、家族からのサポートが人生の基盤となります。,家族・家庭・ルーツ,家庭と家族の豊かさの拡大
木星,Jupiter,5,第5ハウス（創造性・恋愛・子ども・娯楽）,創造性への幸運・恋愛の豊かさ,木星が第5ハウスにある人は、創造性と恋愛に幸運が宿ります。芸術的な才能と恋愛の幸運に恵まれ、子どもとの関係も豊かです。,創造性・恋愛・子ども,創造的な表現と喜びの拡大
木星,Jupiter,6,第6ハウス（仕事・健康・日常・奉仕）,仕事への幸運・健康の豊かさ,木星が第6ハウスにある人は、仕事と健康に幸運が宿ります。職場での成功と良好な健康状態に恵まれ、奉仕を通じて豊かさを引き寄せます。,仕事・健康・奉仕,仕事と健康の豊かさの拡大
木星,Jupiter,7,第7ハウス（パートナーシップ・結婚・公的な関係）,パートナーシップへの幸運・豊かな関係,木星が第7ハウスにある人は、パートナーシップと公的な関係に幸運が宿ります。豊かで成功したパートナーを引き寄せ、協力関係で成功します。,パートナーシップ・公的な関係,関係性と協力の豊かさの拡大
木星,Jupiter,8,第8ハウス（変容・共有の資源・死と再生・性）,変容への幸運・深い探求の豊かさ,木星が第8ハウスにある人は、変容と深い探求に幸運が宿ります。遺産・投資・共有の資源に幸運があり、変容を通じて豊かさを引き寄せます。,変容・共有の資源・遺産,変容と深い探求の豊かさの拡大
木星,Jupiter,9,第9ハウス（哲学・高等教育・旅行・信念）,哲学・旅行への幸運・知恵の豊かさ,木星が第9ハウスにある人は、木星のドミサイルである射手座を支配するハウスに位置し、最も強力に機能します。哲学・高等教育・旅行に幸運が宿り、知恵と広い視野を通じて豊かさを引き寄せます。,哲学・高等教育・旅行・信念,知恵と哲学的な探求の豊かさの拡大
木星,Jupiter,10,第10ハウス（キャリア・社会的地位・公的な役割）,キャリアへの幸運・社会的な豊かさ,木星が第10ハウスにある人は、キャリアと社会的地位に幸運が宿ります。職業的な成功と社会的な認知に恵まれ、公的な役割で豊かさを引き寄せます。,キャリア・社会的地位,キャリアと社会的影響力の拡大
木星,Jupiter,11,第11ハウス（友人・グループ・希望・社会的な目標）,友人への幸運・社会的な豊かさ,木星が第11ハウスにある人は、友人とグループ活動に幸運が宿ります。豊かな人脈と社会的な繋がりに恵まれ、希望と夢が実現しやすい。,友人・グループ・希望,社会的な繋がりと希望の拡大
木星,Jupiter,12,第12ハウス（隠れた敵・潜在意識・霊性・孤立）,霊的な幸運・潜在的な豊かさ,木星が第12ハウスにある人は、霊的な探求と潜在意識に幸運が宿ります。隠れた才能と霊的な恵みに恵まれ、孤独と内省を通じて豊かさを引き寄せます。,霊性・潜在意識・隠れた才能,霊的な成長と潜在的な豊かさの拡大
