point,point_en,sign,sign_en,keyword,career_theme,ideal_career,public_image,life_mission,ruling_planet
MC（ミッドヘブン）,Midheaven,牡羊座,Aries,先駆的なキャリア・リーダーとしての使命,先駆者・リーダー・起業家としてのキャリアが向いている。新しい分野を切り開くことで社会的な認知を得る。,起業家・スポーツ選手・軍人・外科医・消防士・パイロット,エネルギッシュで行動力のある人物,先駆的な行動で社会に新しい道を切り開く,火星
MC（ミッドヘブン）,Midheaven,牡牛座,Taurus,安定したキャリア・豊かさの創造,安定した価値を生み出すキャリアが向いている。芸術・金融・農業・不動産で社会的な認知を得る。,芸術家・銀行家・農業家・不動産業者・シェフ・デザイナー,信頼できる実用的な人物,安定した価値を創造し社会に豊かさをもたらす,金星
MC（ミッドヘブン）,Midheaven,双子座,Gemini,コミュニケーションのキャリア・情報の使命,コミュニケーションと情報伝達のキャリアが向いている。メディア・教育・出版で社会的な認知を得る。,ジャーナリスト・教師・作家・翻訳家・PR担当・司会者,知的で多才なコミュニケーター,情報と知識を通じて社会を繋ぐ,水星
MC（ミッドヘブン）,Midheaven,蟹座,Cancer,ケアのキャリア・家族への使命,ケアと保護のキャリアが向いている。医療・教育・食・不動産で社会的な認知を得る。,医師・看護師・教師・シェフ・不動産業者・カウンセラー,温かく保護的な人物,社会を家族のように守り育てる,月
MC（ミッドヘブン）,Midheaven,獅子座,Leo,創造的なキャリア・表現の使命,創造的な表現と影響力のキャリアが向いている。エンターテインメント・芸術・教育・リーダーシップで社会的な認知を得る。,俳優・アーティスト・政治家・教育者・CEO・エンターテイナー,カリスマ的で創造的なリーダー,創造的な表現で社会を輝かせる,太陽
MC（ミッドヘブン）,Midheaven,乙女座,Virgo,実用的なキャリア・奉仕の使命,実用的な奉仕と改善のキャリアが向いている。医療・分析・農業・技術で社会的な認知を得る。,医師・分析家・農業家・技術者・栄養士・編集者,実用的で信頼できる専門家,実用的な奉仕で社会を改善する,水星
MC（ミッドヘブン）,Midheaven,天秤座,Libra,調和のキャリア・美と正義の使命,調和・美・正義のキャリアが向いている。法律・芸術・外交・デザインで社会的な認知を得る。,弁護士・外交官・デザイナー・カウンセラー・芸術家・ファッションデザイナー,魅力的で公正な人物,美と調和で社会に公正さをもたらす,金星
MC（ミッドヘブン）,Midheaven,蠍座,Scorpio,変容のキャリア・深い探求の使命,変容と深い探求のキャリアが向いている。心理学・医療・金融・調査で社会的な認知を得る。,心理士・外科医・探偵・投資家・研究者・セラピスト,深い洞察力を持つ神秘的な人物,深い変容を通じて社会を再生させる,冥王星（伝統的：火星）
MC（ミッドヘブン）,Midheaven,射手座,Sagittarius,哲学的なキャリア・知恵の使命,哲学・教育・旅行のキャリアが向いている。高等教育・出版・宗教・法律で社会的な認知を得る。,教授・哲学者・宗教家・旅行ライター・弁護士・コーチ,楽観的で知恵のある哲学者,知恵と哲学で社会を啓発する,木星
MC（ミッドヘブン）,Midheaven,山羊座,Capricorn,権威のキャリア・社会的責任の使命,権威と社会的責任のキャリアが向いている。ビジネス・政治・管理職で社会的な認知を得る。,CEO・政治家・管理職・建築家・エンジニア・会計士,責任感のある権威ある人物,規律と責任で社会に安定をもたらす,土星
MC（ミッドヘブン）,Midheaven,水瓶座,Aquarius,革新的なキャリア・人道的使命,革新と人道主義のキャリアが向いている。テクノロジー・社会改革・科学で社会的な認知を得る。,科学者・テクノロジスト・社会改革者・NGO・発明家・宇宙飛行士,革新的で人道的なビジョナリー,革新と人道主義で社会を変革する,天王星（伝統的：土星）
MC（ミッドヘブン）,Midheaven,魚座,Pisces,霊的なキャリア・慈悲の使命,霊性と慈悲のキャリアが向いている。芸術・医療・スピリチュアル・慈善活動で社会的な認知を得る。,芸術家・音楽家・医師・霊的指導者・慈善活動家・映画監督,霊的で慈悲深い芸術家,霊的な慈悲と芸術で社会を癒す,海王星（伝統的：木星）
