planet,planet_en,sign,sign_en,keyword,thinking_style,communication,learning_style,strengths,weaknesses,dignity
水星,Mercury,牡羊座,Aries,直接的・衝動的・先駆的な思考,素早く直感的に結論を出す。回りくどい説明を嫌い、要点を直接伝える。新しいアイデアへの反応が速い。,率直で歯に衣着せない話し方。議論を楽しみ、知的な挑戦に燃える。,実践から学ぶ。理論より行動を優先する。,素早い判断力・先駆的なアイデア・率直さ,衝動的な発言・考えが浅い・忍耐力不足,なし（ペレグリン）
水星,Mercury,牡牛座,Taurus,実用的・ゆっくり・感覚的な思考,ゆっくりと確実に情報を処理する。実用的で具体的な思考。一度学んだことは忘れない。,落ち着いた話し方。言葉を慎重に選ぶ。説得力がある。,繰り返しと実践で学ぶ。感覚的な体験を通じて理解する。,確実な記憶力・実用的な思考・説得力,頑固な考え方・変化への抵抗・遅い情報処理,なし（ペレグリン）
水星,Mercury,双子座,Gemini,多才・素早い・好奇心旺盛な思考,複数のことを同時に考える。情報収集と共有が得意。多様な視点を持つ。,機知に富んだ会話。言葉遊びが得意。話題を素早く切り替える。,多様なトピックを広く浅く学ぶ。読書と会話で学ぶ。,多才・機知・コミュニケーション力・適応力,集中力不足・表面的・一貫性のなさ,ドミサイル（支配）
水星,Mercury,蟹座,Cancer,感情的・直感的・記憶力の高い思考,感情と直感で思考する。過去の記憶と経験を重視する。感情的な文脈で情報を処理する。,感情豊かで共感的な話し方。人の気持ちを察して言葉を選ぶ。,感情的な繋がりを通じて学ぶ。記憶力が高い。,直感力・共感的なコミュニケーション・記憶力,主観的・感情的な偏り・過去への固執,なし（ペレグリン）
水星,Mercury,獅子座,Leo,創造的・表現豊か・ドラマチックな思考,創造的で表現豊かな思考。大きなビジョンを持ち、物語を語るように伝える。,ドラマチックで印象的な話し方。聴衆を惹きつける表現力。,創造的なプロジェクトと自己表現を通じて学ぶ。,創造性・表現力・カリスマ的なコミュニケーション,傲慢・自己中心的な思考・批判への過敏さ,なし（ペレグリン）
水星,Mercury,乙女座,Virgo,分析的・精密・批判的な思考,細部まで分析する精密な思考。問題解決と改善に優れる。批判的思考が強い。,正確で詳細な話し方。事実と証拠を重視する。,系統的で分析的な学習。詳細なノートと整理が得意。,分析力・精密さ・問題解決能力,過度な批判・細部への執着・全体像を見失う,ドミサイル（支配）・エグザルテーション（高揚）
水星,Mercury,天秤座,Libra,バランス・外交的・美的な思考,全ての側面を公平に考慮する。バランスのとれた判断を下す。美的な観点から思考する。,外交的で礼儀正しい話し方。対立を避け、調和を重視する。,対話と議論を通じて学ぶ。美術・音楽・文学に親和性がある。,公正な判断・外交力・美的センス,優柔不断・決断の遅さ・対立回避による不誠実さ,なし（ペレグリン）
水星,Mercury,蠍座,Scorpio,深い洞察・探究的・秘密めいた思考,表面の下に隠れた真実を探る。深い洞察力と心理的な理解力を持つ。,言葉少なく深い。沈黙を効果的に使う。人の本質を見抜く質問をする。,深く掘り下げる研究型の学習。心理学・神秘学・調査に向く。,洞察力・心理的理解・探究心,秘密主義・疑い深さ・操作的なコミュニケーション,なし（ペレグリン）
水星,Mercury,射手座,Sagittarius,哲学的・大局的・楽観的な思考,大きな視野で物事を考える。哲学・宗教・文化に関心が高い。細部より全体像を重視。,率直で大げさな表現。哲学的な議論を好む。外国語に親和性がある。,旅行・異文化体験・哲学的な探求を通じて学ぶ。,広い視野・楽観主義・哲学的思考,細部への注意不足・誇張・無神経な発言,デトリメント（障害）
水星,Mercury,山羊座,Capricorn,実用的・構造的・権威ある思考,実用的で構造的な思考。長期的な計画と目標達成に優れる。権威ある情報を重視する。,簡潔で権威ある話し方。無駄な言葉を省く。ビジネス的なコミュニケーション。,構造的で系統的な学習。実用的なスキルの習得を重視する。,実用的思考・構造化能力・長期的計画,硬直した思考・創造性の欠如・悲観的な見方,なし（ペレグリン）
水星,Mercury,水瓶座,Aquarius,革新的・独創的・人道的な思考,既存の枠を超えた革新的な思考。未来志向で独創的なアイデアを生む。,独特で予測不可能な話し方。社会問題や革新的なテーマを好む。,独自の方法で学ぶ。グループ学習と社会的な文脈での理解を好む。,独創性・革新的思考・人道的視点,非現実的・反抗的・感情的な理解の欠如,なし（ペレグリン）
水星,Mercury,魚座,Pisces,直感的・詩的・霊的な思考,直感と想像力で思考する。論理より感覚と霊感を重視する。詩的で象徴的な表現を好む。,詩的で感情豊かな話し方。言葉の裏にある意味を感じ取る。,芸術・音楽・瞑想を通じた直感的な学習。,直感力・芸術的表現・霊的な洞察,論理的思考の弱さ・現実逃避・混乱した思考,デトリメント（障害）・フォール（失墜）
