planet,planet_en,house,house_name,keyword,interpretation,emotional_theme,needs
月,Moon,1,第1ハウス（自己・外見・人生の始まり）,感情的な自己・外見への感受性,月が第1ハウスにある人は、感情が外見と第一印象に直接現れます。気分の変化が顔や態度に出やすく、感受性豊かな印象を与えます。直感的に行動し、感情が人生のナビゲーターとなります。,感情的な自己表現・直感的な行動,感情的な安全と自己表現の自由
月,Moon,2,第2ハウス（財産・価値観・自己価値）,感情的な安定・物質への感受性,月が第2ハウスにある人は、感情的な安定を物質的な豊かさに求めます。経済状況が感情に直接影響し、豊かさと欠乏の感情的なサイクルを経験します。食と感覚的な快楽が感情的な慰めになります。,物質的な安定への感情的な欲求,経済的な安定と感覚的な満足
月,Moon,3,第3ハウス（コミュニケーション・兄弟・短距離移動）,感情的なコミュニケーション・兄弟との絆,月が第3ハウスにある人は、感情をコミュニケーションで表現します。兄弟や近隣との感情的な絆が強く、言葉と感情が密接に繋がっています。感情的な日記や手紙が癒しになります。,感情的なコミュニケーション・知的な感受性,感情を言葉で表現する機会と知的な刺激
月,Moon,4,第4ハウス（家族・家庭・ルーツ）,家族・ルーツへの深い感情的な絆,月が第4ハウスにある人は、家族とルーツへの深い感情的な絆を持ちます。家庭環境が感情パターンの核となり、過去の家族の影響が人生全体に及びます。家が感情的な充電の場所です。,家族への深い感情・ルーツへの愛着,安全な家庭環境と家族との絆
月,Moon,5,第5ハウス（創造性・恋愛・子ども・娯楽）,創造的な感情表現・子どもへの愛,月が第5ハウスにある人は、創造的な表現と遊びで感情を発散します。子どもへの強い愛情と恋愛への感情的な投資が特徴です。芸術と創造が感情的な充電になります。,創造的な感情表現・ロマンティックな感情,創造的な表現と遊びの機会
月,Moon,6,第6ハウス（仕事・健康・日常・奉仕）,感情的な奉仕・健康への感受性,月が第6ハウスにある人は、感情が健康と日常の仕事に直接影響します。奉仕することで感情的な満足を得ます。ストレスが身体症状として現れやすく、感情と健康の管理が重要です。,奉仕による感情的な満足・感情と健康の連動,実用的な奉仕の機会と健康的な日常ルーティン
月,Moon,7,第7ハウス（パートナーシップ・結婚・公的な関係）,関係性への感情的な投資,月が第7ハウスにある人は、パートナーシップに感情的なエネルギーを注ぎます。一人でいることが感情的な不安を引き起こし、常に誰かとの感情的な繋がりを求めます。パートナーの感情状態が自分の感情に直接影響します。,パートナーシップへの感情的な依存,感情的に安全なパートナーシップ
月,Moon,8,第8ハウス（変容・共有の資源・死と再生・性）,深い感情・変容への感受性,月が第8ハウスにある人は、深い感情と変容への感受性を持ちます。感情が複雑で強烈であり、表面には出さない深い内面世界があります。変容と再生を繰り返す感情パターンを持ちます。,深い感情・変容への感受性,深い感情的な親密さと変容の機会
月,Moon,9,第9ハウス（哲学・高等教育・旅行・信念）,自由な感情・哲学的な感受性,月が第9ハウスにある人は、感情的な自由と冒険を必要とします。旅行・学習・哲学が感情的な充電になります。束縛された感情環境は強い不快感を生みます。,感情的な自由・哲学的な感受性,感情的な自由と冒険の機会
月,Moon,10,第10ハウス（キャリア・社会的地位・公的な役割）,感情とキャリアの融合,月が第10ハウスにある人は、感情がキャリアと公的な役割に直接影響します。感情的な直感がキャリアの成功に繋がります。母親的な役割や感情的なケアを公的な場で発揮します。,感情とキャリアの融合・公的な感情表現,感情を活かせるキャリアと公的な認知
月,Moon,11,第11ハウス（友人・グループ・希望・社会的な目標）,社会的な感情・友人への愛着,月が第11ハウスにある人は、友人とグループへの感情的な愛着が強い。社会的な目標に感情的に投資し、人道的な活動が感情的な充電になります。,社会的な感情・友人への愛着,感情的に繋がれる友人グループと社会的な目標
月,Moon,12,第12ハウス（隠れた敵・潜在意識・霊性・孤立）,潜在的な感情・霊的な感受性,月が第12ハウスにある人は、感情が潜在意識の深いところに隠れています。霊的な感受性が高く、夢と直感が感情のメッセージを伝えます。孤独な時間が感情的な充電になります。,潜在的な感情・霊的な感受性,孤独な時間と霊的な探求の機会
