id,name_en,name_ja,symbol,type,type_ja,orbit_days,rules_sign_ja,exaltation_ja,detriment_ja,fall_ja,house_natural,keywords_ja,body_parts_ja,day_of_week_ja,metal_ja,color_ja,description_ja,in_natal_chart_ja,retrograde,retrograde_note_ja,avg_transit_per_sign_days
1,Sun,太陽,☉,Luminary,発光体,365.25,獅子座,牡羊座（19度）,水瓶座,天秤座（19度）,5,アイデンティティ|自我|活力|意識|意志|目的|父親像|権威,心臓・背骨・目,日曜日,金,ゴールド、オレンジ,太陽はチャートの中心的な発光体であり、個人の核となるアイデンティティ・自我・意識的な自己を象徴する。出生チャートにおける太陽の星座（サン・サイン）は、その人の本質的な性格と人生の目的を示す。父親・権威者・リーダーシップとも関連し、自己表現と創造性のエネルギーを司る。,出生チャートの太陽は、その人の核となる性格・人生の目的・自己表現の方法を示す。太陽のサインとハウスが、どのような分野でどのように自己を表現するかを教えてくれる。,False,太陽は逆行しない,30
2,Moon,月,☽,Luminary,発光体,27.3,蟹座,牡牛座（3度）,山羊座,蠍座（3度）,4,感情|本能|潜在意識|母親像|家庭|習慣|記憶|養育,胃・乳房・リンパ系,月曜日,銀,シルバー、白,月は感情・本能・潜在意識・記憶を象徴する。出生チャートにおける月の位置は、感情的な反応パターン・安心感の求め方・母親との関係を示す。月は約2.5日ごとに星座を移動し、日々の感情の潮流に影響を与える。月相（新月・満月など）も重要な占星術的要素である。,出生チャートの月は、感情的な性質・本能的な反応・内なる安心感の求め方を示す。月のサインとハウスが、どのように感情を処理し、何に安らぎを感じるかを教えてくれる。,False,月は逆行しない,2.5
3,Mercury,水星,☿,Personal Planet,個人天体,88,双子座|乙女座,乙女座（15度）,射手座、魚座,魚座（15度）,3,コミュニケーション|知性|論理|学習|短距離旅行|兄弟姉妹|文章|分析,神経系・腕・手・肺,水曜日,水銀,黄色、グレー,水星は思考・コミュニケーション・情報処理・移動を象徴する。出生チャートにおける水星の位置は、その人の思考スタイル・コミュニケーション方法・学習の仕方を示す。水星逆行（年3回、各約3週間）は、コミュニケーション・交通・技術に混乱をもたらすとされる。,出生チャートの水星は、思考パターン・コミュニケーションスタイル・学習方法を示す。水星のサインとハウスが、どのように情報を処理し、どのように表現するかを教えてくれる。,True,年3回逆行（各約3週間）。逆行中はコミュニケーション・契約・旅行に注意が必要とされる。,15
4,Venus,金星,♀,Personal Planet,個人天体,225,牡牛座|天秤座,魚座（27度）,牡羊座、蠍座,乙女座（27度）,2,愛|美|調和|快楽|芸術|人間関係|価値観|引き寄せ,喉・腎臓・皮膚,金曜日,銅,ピンク、緑,金星は愛・美・快楽・芸術・価値観・人間関係を象徴する。出生チャートにおける金星の位置は、その人の愛のスタイル・美的感覚・何に価値を見出すかを示す。恋愛関係・友情・お金・芸術的才能とも関連する。金星逆行（約18ヶ月に1回、約40日間）は、恋愛・美・価値観の見直しをもたらす。,出生チャートの金星は、愛のスタイル・美的感覚・価値観・引き寄せるものを示す。金星のサインとハウスが、どのように愛を表現し、何に美を感じるかを教えてくれる。,True,約18ヶ月に1回逆行（約40日間）。逆行中は過去の恋愛の見直し・価値観の再評価が起きやすい。,23
5,Mars,火星,♂,Personal Planet,個人天体,687,牡羊座|蠍座（伝統）,山羊座（28度）,天秤座、牡牛座,蟹座（28度）,1,行動|欲望|攻撃性|勇気|推進力|性欲|対立|エネルギー,筋肉・頭部・副腎,火曜日,鉄,赤,火星は行動・欲望・攻撃性・性エネルギー・競争心を象徴する。出生チャートにおける火星の位置は、その人の行動スタイル・何に情熱を注ぐか・怒りの表現方法を示す。戦争・スポーツ・手術とも関連する。火星逆行（約2年に1回、約2ヶ月）は、行動エネルギーが内向きになる時期。,出生チャートの火星は、行動パターン・欲望・性エネルギー・競争心を示す。火星のサインとハウスが、どのようにエネルギーを使い、何に情熱を燃やすかを教えてくれる。,True,約2年に1回逆行（約2ヶ月間）。逆行中は行動エネルギーが内向きになり、フラストレーションが溜まりやすい。,57
6,Jupiter,木星,♃,Social Planet,社会天体,4333,射手座|魚座（伝統）,蟹座（15度）,双子座,山羊座（15度）,9,拡大|幸運|豊かさ|知恵|哲学|旅行|高等教育|楽観主義,肝臓・腰・太もも,木曜日,錫,紫、青,木星は拡大・幸運・豊かさ・知恵・高等教育・哲学・旅行を象徴する。出生チャートにおける木星の位置は、その人が人生のどの分野で幸運を得やすいか・どこで成長と拡大が起きるかを示す。木星は約12年で黄道を一周し、各星座に約1年滞在する。,出生チャートの木星は、幸運・成長・拡大の領域を示す。木星のサインとハウスが、どの分野で恵みを受けやすく、どのように成長するかを教えてくれる。,True,毎年約4ヶ月逆行。逆行中は内的な成長・哲学的な見直しの時期。,365
7,Saturn,土星,♄,Social Planet,社会天体,10759,山羊座|水瓶座（伝統）,天秤座（21度）,蟹座,牡羊座（21度）,10,規律|構造|カルマ|制限|責任|時間|権威|試練,骨・歯・皮膚・膝,土曜日,鉛,黒、ダークグレー,土星は規律・構造・制限・カルマ・責任・試練・時間を象徴する。出生チャートにおける土星の位置は、その人が人生で最も大きな試練と成長を経験する分野を示す。土星は約29.5年で黄道を一周する（サターン・リターン）。サターン・リターン（約29歳・58歳）は人生の重要な転換点とされる。,出生チャートの土星は、試練・制限・カルマ的な課題の領域を示す。土星のサインとハウスが、どの分野で最も努力と忍耐が必要かを教えてくれる。サターン・リターン（約29歳）は人生の大きな節目。,True,毎年約4.5ヶ月逆行。逆行中は過去のカルマ・責任の見直しの時期。,913
8,Uranus,天王星,♅,Transpersonal Planet,世代天体,30589,水瓶座,蠍座,獅子座,牡牛座,11,革命|革新|反骨|自由|突然の変化|テクノロジー|独創性|覚醒,神経系・足首,なし（現代天体）,ウラン,エレクトリックブルー,天王星は革命・革新・突然の変化・自由・テクノロジー・覚醒を象徴する。出生チャートにおける天王星の位置は、その世代が社会にどのような変革をもたらすかを示す。天王星は約84年で黄道を一周し、各星座に約7年滞在する。個人チャートでは、天王星のハウスが突然の変化と革新が起きやすい分野を示す。,出生チャートの天王星は、世代的な革新テーマと個人的な変革・自由への衝動を示す。天王星のハウスが、どの分野で予期せぬ変化と突破口が生まれるかを教えてくれる。,True,毎年約5ヶ月逆行。逆行中は内的な革命・個人的な自由の探求の時期。,2557
9,Neptune,海王星,♆,Transpersonal Planet,世代天体,60190,魚座,水瓶座,乙女座,獅子座,12,霊性|夢|幻想|神秘主義|思いやり|溶解|芸術|依存,足・リンパ系・松果体,なし（現代天体）,ネプツニウム,シーグリーン、バイオレット,海王星は霊性・夢・幻想・神秘主義・芸術・依存・境界の溶解を象徴する。出生チャートにおける海王星の位置は、その世代の霊的テーマと集合的な夢を示す。海王星は約165年で黄道を一周し、各星座に約14年滞在する。個人チャートでは、海王星のハウスが幻想・霊的探求・犠牲が起きやすい分野を示す。,出生チャートの海王星は、世代的な霊的テーマと個人的な幻想・夢・霊的感受性を示す。海王星のハウスが、どの分野で境界が曖昧になりやすく、霊的な深みがあるかを教えてくれる。,True,毎年約5ヶ月逆行。逆行中は霊的な内省・幻想の見直しの時期。,5110
10,Pluto,冥王星,♇,Transpersonal Planet,世代天体,90560,蠍座,獅子座,牡牛座,水瓶座,8,変容|権力|死と再生|強烈さ|コントロール|執着|再生|隠れた力,生殖器・結腸,なし（現代天体）,プルトニウム,黒、ダークレッド,冥王星は変容・権力・死と再生・隠れた力・強迫的なエネルギーを象徴する。出生チャートにおける冥王星の位置は、その世代が社会にどのような根本的変革をもたらすかを示す。冥王星は約248年で黄道を一周し、各星座に約12〜31年（楕円軌道のため不均等）滞在する。個人チャートでは、冥王星のハウスが根本的な変容と権力が働く分野を示す。,出生チャートの冥王星は、世代的な変容テーマと個人的な権力・変革・再生の領域を示す。冥王星のハウスが、どの分野で最も深い変容と再生が起きるかを教えてくれる。,True,毎年約5ヶ月逆行。逆行中は深層心理の変容・権力構造の見直しの時期。,7300〜11315（不均等）
