planet,planet_en,house,house_name,keyword,interpretation,transformation_area,power
冥王星,Pluto,1,第1ハウス（自己・外見・人生の始まり）,自己の変容・強烈な個性,冥王星が第1ハウスにある人は、強烈な変容的な個性を持ちます。人生を通じて根本的な自己変容を経験し、強い意志と変容力が特徴です。他者に深い印象を与えます。,自己・個性・外見,強烈な個性と変容力
冥王星,Pluto,2,第2ハウス（財産・価値観・自己価値）,財産の変容・価値観の根本的変革,冥王星が第2ハウスにある人は、財産と価値観に根本的な変容をもたらします。財政的な変容（大きな損失と回復）を経験し、真の価値観を深く探求します。,財産・価値観,財産の変容と真の価値観の確立
冥王星,Pluto,3,第3ハウス（コミュニケーション・兄弟・短距離移動）,コミュニケーションの変容・深い思考,冥王星が第3ハウスにある人は、コミュニケーションと思考に深い変容をもたらします。言葉の力を深く理解し、変容的なコミュニケーションで他者に影響を与えます。,コミュニケーション・思考,変容的な言葉の力
冥王星,Pluto,4,第4ハウス（家族・家庭・ルーツ）,家族の変容・ルーツの根本的変革,冥王星が第4ハウスにある人は、家族とルーツに根本的な変容をもたらします。家族の中に深い変容のテーマがあり、家庭環境が人生の根本的な変容の場となります。,家族・家庭・ルーツ,家族の変容と深いルーツの探求
冥王星,Pluto,5,第5ハウス（創造性・恋愛・子ども・娯楽）,創造性の変容・恋愛の根本的変革,冥王星が第5ハウスにある人は、創造性と恋愛に根本的な変容をもたらします。強烈な恋愛体験と変容的な創造的表現が特徴です。,創造性・恋愛・子ども,変容的な創造力と強烈な恋愛
冥王星,Pluto,6,第6ハウス（仕事・健康・日常・奉仕）,仕事の変容・健康の根本的変革,冥王星が第6ハウスにある人は、仕事と健康に根本的な変容をもたらします。職場での変容的な体験と健康の根本的な変革が特徴です。,仕事・健康・日常,仕事と健康の変容力
冥王星,Pluto,7,第7ハウス（パートナーシップ・結婚・公的な関係）,パートナーシップの変容・関係の根本的変革,冥王星が第7ハウスにある人は、パートナーシップと公的な関係に根本的な変容をもたらします。強烈な変容的な関係を経験し、パートナーシップを通じて深く変容します。,パートナーシップ・公的な関係,変容的なパートナーシップ
冥王星,Pluto,8,第8ハウス（変容・共有の資源・死と再生・性）,変容の核心・死と再生の力,冥王星が第8ハウスにある人は、冥王星のドミサイルである蠍座を支配するハウスに位置し、最も強力に機能します。変容・死と再生・深い探求に最も強力な変容力を持ちます。,変容・共有の資源・死と再生,最強の変容力と深い探求
冥王星,Pluto,9,第9ハウス（哲学・高等教育・旅行・信念）,哲学の変容・信念の根本的変革,冥王星が第9ハウスにある人は、哲学と信念に根本的な変容をもたらします。信念システムの根本的な変容と哲学的な覚醒が特徴です。,哲学・高等教育・信念,信念の変容と哲学的な覚醒
冥王星,Pluto,10,第10ハウス（キャリア・社会的地位・公的な役割）,キャリアの変容・社会的権力の変革,冥王星が第10ハウスにある人は、キャリアと社会的地位に根本的な変容をもたらします。社会的な権力と変容的なキャリアが特徴です。,キャリア・社会的地位,社会的な変容力と権力
冥王星,Pluto,11,第11ハウス（友人・グループ・希望・社会的な目標）,社会変革の変容・友人の根本的変革,冥王星が第11ハウスにある人は、友人とグループ活動に根本的な変容をもたらします。社会変革のための変容的なグループ活動が特徴です。,友人・グループ・社会的目標,社会変革の変容力
冥王星,Pluto,12,第12ハウス（隠れた敵・潜在意識・霊性・孤立）,潜在意識の変容・霊的な根本的変革,冥王星が第12ハウスにある人は、潜在意識と霊的な探求に根本的な変容をもたらします。深い潜在意識の変容と霊的な覚醒が特徴です。,潜在意識・霊性・孤立,潜在意識の変容力と霊的な覚醒
