planet,planet_en,house,house_name,keyword,interpretation,lesson,challenge
土星,Saturn,1,第1ハウス（自己・外見・人生の始まり）,自己の試練・アイデンティティの規律,土星が第1ハウスにある人は、自己アイデンティティと外見に試練が訪れます。自己表現に制限を感じますが、努力を通じて真の自己を確立します。年を重ねるにつれて自信が増します。,真の自己確立・自己責任,自己表現の制限・低い自己評価
土星,Saturn,2,第2ハウス（財産・価値観・自己価値）,財産の試練・価値観の規律,土星が第2ハウスにある人は、財産と価値観に試練が訪れます。経済的な困難を経験しますが、規律と努力で真の豊かさを築きます。真の価値観を確立することが人生のテーマです。,経済的な規律・真の価値観の確立,経済的な困難・自己価値の低下
土星,Saturn,3,第3ハウス（コミュニケーション・兄弟・短距離移動）,コミュニケーションの試練・知識の規律,土星が第3ハウスにある人は、コミュニケーションと学習に試練が訪れます。言葉の表現に困難を感じますが、深い知識と責任あるコミュニケーションを習得します。,深い知識・責任あるコミュニケーション,コミュニケーションの困難・学習の遅れ
土星,Saturn,4,第4ハウス（家族・家庭・ルーツ）,家族の試練・ルーツの規律,土星が第4ハウスにある人は、家族と家庭に試練が訪れます。家庭環境に制限や困難がありますが、それを乗り越えることで真の内的安全感を築きます。,内的安全感の確立・家族への責任,家庭環境の困難・感情的な安全感の欠如
土星,Saturn,5,第5ハウス（創造性・恋愛・子ども・娯楽）,創造性の試練・表現の規律,土星が第5ハウスにある人は、創造性と恋愛に試練が訪れます。自己表現に制限を感じますが、規律ある創造的な努力で真の芸術的な才能を発揮します。,規律ある創造性・成熟した愛,創造性の制限・恋愛の困難
土星,Saturn,6,第6ハウス（仕事・健康・日常・奉仕）,仕事の試練・健康の規律,土星が第6ハウスにある人は、仕事と健康に試練が訪れます。職場での困難と健康上の課題を経験しますが、規律ある仕事と健康管理で真の専門性を築きます。,職業的な規律・健康への責任,職場での困難・健康上の課題
土星,Saturn,7,第7ハウス（パートナーシップ・結婚・公的な関係）,パートナーシップの試練・関係の規律,土星が第7ハウスにある人は、パートナーシップと公的な関係に試練が訪れます。関係の困難と遅い結婚が多いですが、成熟した責任ある関係を築きます。,成熟したパートナーシップ・関係への責任,関係の困難・遅い結婚・孤独感
土星,Saturn,8,第8ハウス（変容・共有の資源・死と再生・性）,変容の試練・深い探求の規律,土星が第8ハウスにある人は、変容と深い探求に試練が訪れます。変容への恐れと共有の資源に関する困難を経験しますが、深い心理的な知恵を習得します。,変容への責任・深い心理的な知恵,変容への恐れ・共有の資源の困難
土星,Saturn,9,第9ハウス（哲学・高等教育・旅行・信念）,哲学の試練・信念の規律,土星が第9ハウスにある人は、哲学と信念に試練が訪れます。高等教育や旅行に制限を感じますが、深い哲学的な知恵と真の信念を習得します。,深い哲学的知恵・真の信念,高等教育の困難・信念の制限
土星,Saturn,10,第10ハウス（キャリア・社会的地位・公的な役割）,キャリアの試練・社会的責任の規律,土星が第10ハウスにある人は、キャリアと社会的地位に試練が訪れます。遅い成功と職業的な困難を経験しますが、規律と努力で真の権威を確立します。,真の権威・社会的責任,遅い成功・職業的な困難・権威への恐れ
土星,Saturn,11,第11ハウス（友人・グループ・希望・社会的な目標）,友人の試練・社会的目標の規律,土星が第11ハウスにある人は、友人とグループ活動に試練が訪れます。社会的な孤立と友人関係の困難を経験しますが、真の友情と社会的な責任を習得します。,真の友情・社会的責任,社会的な孤立・友人関係の困難
土星,Saturn,12,第12ハウス（隠れた敵・潜在意識・霊性・孤立）,霊的な試練・潜在意識の規律,土星が第12ハウスにある人は、霊的な探求と潜在意識に試練が訪れます。孤独と内面の恐れに向き合いますが、深い霊的な知恵と内面の強さを習得します。,霊的な規律・潜在意識の統合,孤独・内面の恐れ・潜在意識のパターン
