planet,planet_en,sign,sign_en,keyword,life_lesson,challenges,karmic_theme,strengths_developed,saturn_return,dignity
土星,Saturn,牡羊座,Aries,自己主張の試練・行動の規律,衝動を制御し、行動に責任を持つことを学ぶ。自己主張と他者への配慮のバランスを習得する。,衝動的な行動への制限・自己主張の困難・リーダーシップの試練,前世で衝動的な行動をとった可能性。今世では忍耐と責任ある行動を学ぶ。,忍耐力・責任ある行動・真のリーダーシップ,28〜30歳と58〜60歳に自己のアイデンティティと行動パターンを見直す時期が訪れる。,フォール（失墜）
土星,Saturn,牡牛座,Taurus,物質的な安定の試練・価値観の規律,物質的な安定を自分の力で築くことを学ぶ。真の価値と物質的な執着を区別する。,経済的な不安定・物質への執着の克服・自己価値の確立,物質的な豊かさへの執着または欠乏の前世パターン。今世では真の価値を学ぶ。,経済的な知恵・物質的な責任感・真の価値観,28〜30歳と58〜60歳に経済的な基盤と価値観を見直す時期が訪れる。,なし（ペレグリン）
土星,Saturn,双子座,Gemini,コミュニケーションの試練・知識の規律,深い知識と責任あるコミュニケーションを習得する。表面的な情報から深い知恵へ。,コミュニケーションの困難・学習障害の可能性・情報の過負荷,言葉の力の誤用または知識の欠如の前世パターン。,深い知識・責任あるコミュニケーション・知的な規律,28〜30歳と58〜60歳にコミュニケーションと学習スタイルを見直す時期が訪れる。,なし（ペレグリン）
土星,Saturn,蟹座,Cancer,感情的な成熟の試練・家族の規律,感情的な成熟と真の安全感を内側から築くことを学ぶ。,感情的な冷淡さ・家族関係の困難・感情的な安全感の欠如,感情的な傷や家族の問題の前世パターン。,感情的な成熟・真の内的安全感・家族への責任,28〜30歳と58〜60歳に感情的なパターンと家族関係を見直す時期が訪れる。,デトリメント（障害）
土星,Saturn,獅子座,Leo,自己表現の試練・創造性の規律,真の自己表現と承認への依存からの解放を学ぶ。,承認欲求の抑制・創造性の制限・プライドの試練,権力の誤用または自己表現の抑圧の前世パターン。,真の自己表現・承認に依存しない創造性・成熟したリーダーシップ,28〜30歳と58〜60歳に自己表現と創造性を見直す時期が訪れる。,なし（ペレグリン）
土星,Saturn,乙女座,Virgo,完璧主義の試練・奉仕の規律,完璧主義を手放し、十分さを受け入れることを学ぶ。真の奉仕の意味を理解する。,完璧主義による麻痺・過度な批判・健康への不安,奉仕の義務または批判的な態度の前世パターン。,実用的な知恵・謙虚な奉仕・健康への責任,28〜30歳と58〜60歳に仕事と健康のパターンを見直す時期が訪れる。,なし（ペレグリン）
土星,Saturn,天秤座,Libra,関係性の試練・公正さの規律,真の公正さとパートナーシップの責任を学ぶ。依存と独立のバランスを習得する。,関係性の困難・公正さへの執着・決断の難しさ,関係性の不均衡または公正さの欠如の前世パターン。,真の公正さ・成熟したパートナーシップ・責任ある関係,28〜30歳と58〜60歳に関係性と価値観を見直す時期が訪れる。,エグザルテーション（高揚）
土星,Saturn,蠍座,Scorpio,変容の試練・権力の規律,権力と変容に責任を持つことを学ぶ。深い心理的な変容を通じて成長する。,権力への執着・変容への恐れ・深い心理的な試練,権力の誤用または変容への抵抗の前世パターン。,真の変容力・責任ある権力の使用・深い心理的な知恵,28〜30歳と58〜60歳に権力と変容のパターンを見直す時期が訪れる。,なし（ペレグリン）
土星,Saturn,射手座,Sagittarius,信念の試練・哲学の規律,真の信念と哲学的な知恵を深めることを学ぶ。自由と責任のバランスを習得する。,信念の制限・哲学的な疑問・自由への制約,信念の誤用または哲学的な傲慢さの前世パターン。,真の知恵・責任ある自由・深い哲学的理解,28〜30歳と58〜60歳に信念と哲学を見直す時期が訪れる。,なし（ペレグリン）
土星,Saturn,山羊座,Capricorn,社会的責任の試練・権威の規律,真の権威と社会的責任を習得する。野心と誠実さのバランスを学ぶ。,過度な責任感・仕事中毒・権威への恐れまたは執着,権威の誤用または社会的責任の回避の前世パターン。,真の権威・社会的責任感・長期的な知恵,28〜30歳と58〜60歳に社会的役割と野心を見直す時期が訪れる。,ドミサイル（支配）
土星,Saturn,水瓶座,Aquarius,革新の試練・人道主義の規律,真の革新と人道的な責任を学ぶ。個人の自由と集団の責任のバランスを習得する。,革新への制限・社会的な孤立・人道的な理想と現実のギャップ,社会的な責任の回避または革新の誤用の前世パターン。,真の革新力・人道的な責任感・社会的な知恵,28〜30歳と58〜60歳に社会的な役割と革新のパターンを見直す時期が訪れる。,ドミサイル（伝統的支配）
土星,Saturn,魚座,Pisces,霊的な試練・慈悲の規律,真の慈悲と霊的な責任を学ぶ。現実と夢想のバランスを習得する。,霊的な混乱・現実逃避への誘惑・境界線の確立,霊的な責任の回避または犠牲的な自己放棄の前世パターン。,真の慈悲・霊的な責任感・現実と理想のバランス,28〜30歳と58〜60歳に霊的な方向性と慈悲のパターンを見直す時期が訪れる。,デトリメント（障害）
