planet,planet_en,house,house_name,keyword,interpretation,love_area,beauty
金星,Venus,1,第1ハウス（自己・外見・人生の始まり）,魅力的な外見・自己愛,金星が第1ハウスにある人は、自然な魅力と美しさを持ちます。外見に気を使い、ファッションセンスが高い。人から好かれやすく、社交的な場で輝きます。,自己愛・外見への投資,自然な美しさと魅力
金星,Venus,2,第2ハウス（財産・価値観・自己価値）,物質的な豊かさへの愛・美的な価値観,金星が第2ハウスにある人は、美しいものと豊かさへの強い愛着を持ちます。芸術品・高品質な食・豪華な体験に喜びを感じます。財務的な才能があり、美を通じて収益を得ることができます。,物質的な豊かさと美的な価値観,高品質なものへの愛
金星,Venus,3,第3ハウス（コミュニケーション・兄弟・短距離移動）,コミュニケーションの魅力・知的な愛,金星が第3ハウスにある人は、言葉と知性で人を惹きつけます。会話と文章に美しさがあり、知的な交流を愛します。兄弟や近隣との調和的な関係を持ちます。,知的な愛・コミュニケーションの美,言葉と表現の美しさ
金星,Venus,4,第4ハウス（家族・家庭・ルーツ）,家庭的な愛・家族への美的な感受性,金星が第4ハウスにある人は、家庭と家族への深い愛情を持ちます。美しい家を作ることに喜びを感じ、家庭が愛の中心となります。家族との調和的な関係を大切にします。,家庭的な愛・家族との調和,美しい家と家庭環境
金星,Venus,5,第5ハウス（創造性・恋愛・子ども・娯楽）,ロマンティックな愛・創造的な美,金星が第5ハウスにある人は、ロマンティックな恋愛と創造的な表現に強い喜びを感じます。芸術・音楽・演劇に才能があり、恋愛を人生の喜びとして楽しみます。,ロマンティックな恋愛・創造的な愛,芸術的な表現と創造的な美
金星,Venus,6,第6ハウス（仕事・健康・日常・奉仕）,奉仕の中の愛・健康的な美,金星が第6ハウスにある人は、日常の仕事と奉仕の中に美を見出します。職場での調和的な関係を大切にし、健康と美容に関心が高い。実用的なサービスで愛情を表現します。,奉仕の中の愛・職場での調和,健康的な美と実用的な美しさ
金星,Venus,7,第7ハウス（パートナーシップ・結婚・公的な関係）,パートナーシップへの愛・美的な関係,金星が第7ハウスにある人は、金星のドミサイルの一つである天秤座を支配するハウスに位置し、美しいパートナーシップを引き寄せます。調和的で美しい関係を求め、パートナーとの芸術的な協力に喜びを感じます。,美しいパートナーシップ・調和的な関係,関係性の美しさと調和
金星,Venus,8,第8ハウス（変容・共有の資源・死と再生・性）,深い愛・変容的な美,金星が第8ハウスにある人は、深く変容的な愛を求めます。性的な魅力が強く、深い感情的・肉体的な親密さに喜びを感じます。共有の資源と遺産に関する幸運があります。,深い変容的な愛・性的な魅力,神秘的で深みのある美しさ
金星,Venus,9,第9ハウス（哲学・高等教育・旅行・信念）,哲学的な愛・異文化への美的感受性,金星が第9ハウスにある人は、異文化・哲学・旅行に美を見出します。外国人や異文化の背景を持つ人との恋愛が多い。哲学的な議論と知的な探求が愛の言語になります。,哲学的な愛・異文化との出会い,異文化の美と哲学的な美しさ
金星,Venus,10,第10ハウス（キャリア・社会的地位・公的な役割）,キャリアの中の愛・社会的な魅力,金星が第10ハウスにある人は、キャリアと公的な役割に美と愛を持ち込みます。社会的な魅力が高く、職業的な成功が愛を引き寄せます。芸術・美容・ファッション関連のキャリアに向いています。,キャリアと愛の融合・社会的な魅力,社会的な美しさと職業的な魅力
金星,Venus,11,第11ハウス（友人・グループ・希望・社会的な目標）,友人への愛・社会的な美,金星が第11ハウスにある人は、友人とグループへの愛情が深い。社会的な活動と人道的な目標に美を見出します。友人を通じて恋愛が始まることが多い。,友情からの愛・社会的な繋がり,社会的な美と人道的な美しさ
金星,Venus,12,第12ハウス（隠れた敵・潜在意識・霊性・孤立）,隠れた愛・霊的な美,金星が第12ハウスにある人は、隠れた愛と霊的な美を持ちます。秘密の恋愛や隠れた場所での愛が多い。芸術・音楽・スピリチュアルな活動に深い美を感じます。,隠れた愛・霊的な美,霊的な美と隠れた芸術性
