planet,planet_en,sign,sign_en,keyword,love_style,attraction,beauty_style,values,relationship_pattern,strengths,weaknesses,dignity
金星,Venus,牡羊座,Aries,情熱的・直接的・独立した愛,恋愛に情熱的で直接的。追いかけることを楽しむ。一目惚れが多い。,自信があり積極的な人・挑戦的な関係・新鮮な刺激,大胆でスポーティなスタイル。赤や鮮やかな色を好む。,自由・独立・挑戦・情熱,情熱的に始まるが、刺激がなくなると冷める。自立した関係を好む。,情熱・直接性・冒険的な愛,衝動的・飽きやすい・自己中心的,デトリメント（障害）
金星,Venus,牡牛座,Taurus,官能的・安定・豊かな愛,ゆっくりと深く愛する。身体的な愛情表現を大切にする。安定した長期的な関係を求める。,安定していて信頼できる人・感覚的な快楽を共有できる人,高品質で感覚的なスタイル。自然素材や豊かな色彩を好む。,安定・豊かさ・感覚的な快楽・忠誠心,一度愛したら深く長く愛し続ける。嫉妬深い面もある。,忠誠心・官能性・安定した愛,嫉妬・執着・変化への抵抗,ドミサイル（支配）
金星,Venus,双子座,Gemini,知的・軽やか・多様な愛,知的な刺激を求める。会話と遊びを愛する。軽やかで自由な恋愛スタイル。,知的で面白い人・多様な話題を持つ人・遊び心のある人,多様でトレンドに敏感なスタイル。言葉と表現で美を表す。,知的刺激・多様性・コミュニケーション・自由,複数の関係を同時に持ちやすい。深いコミットメントが苦手。,知的な魅力・コミュニケーション・適応力,浮気心・表面的・コミットメント恐怖,なし（ペレグリン）
金星,Venus,蟹座,Cancer,保護的・感情的・家庭的な愛,深く感情的に愛する。パートナーを家族のように大切にする。安心感と感情的な繋がりを求める。,感情的に成熟した人・家庭的な人・安心感を与えてくれる人,柔らかく家庭的なスタイル。懐かしさと温かさを感じるファッション。,感情的な安全・家族・保護・忠誠心,深く献身的に愛する。感情的な傷が癒えるのに時間がかかる。,深い愛情・忠誠心・感情的な繋がり,過保護・執着・感情的な操作,なし（ペレグリン）
金星,Venus,獅子座,Leo,ドラマチック・寛大・誇り高い愛,ドラマチックで情熱的な恋愛。パートナーを王様・女王様のように扱う。特別感を大切にする。,カリスマ的で自信のある人・自分を特別扱いしてくれる人,華やかで目立つスタイル。ゴールドや鮮やかな色を好む。,ロマンス・特別感・忠誠心・創造的な表現,愛する人に惜しみなく与える。承認と感謝を求める。,寛大さ・情熱・ドラマチックな愛,承認欲求・傲慢・プライドの傷つきやすさ,なし（ペレグリン）
金星,Venus,乙女座,Virgo,実用的・奉仕的・分析的な愛,実用的なサービスで愛情を表現する。細かい気配りと奉仕が愛の言語。,知的で誠実な人・清潔感のある人・実用的な価値観を持つ人,清潔感があり機能的なスタイル。シンプルで洗練されたファッション。,誠実さ・実用性・清潔さ・改善,慎重に関係を深める。パートナーへの奉仕と改善を愛情として表す。,誠実さ・細やかな気配り・実用的なサポート,批判的・完璧主義・感情表現の苦手さ,フォール（失墜）
金星,Venus,天秤座,Libra,調和・美・理想的なパートナーシップ,ロマンティックで理想主義的。美しい恋愛を求める。パートナーとの調和を最重視する。,洗練されていて礼儀正しい人・美的センスのある人・公正な人,洗練されていてバランスのとれたスタイル。美しいものへの強い感受性。,調和・美・公正さ・パートナーシップ,一人でいることが苦手。常に誰かと一緒にいたがる。理想のパートナーを求め続ける。,魅力・外交力・美的センス・調和,優柔不断・依存的・対立回避,ドミサイル（支配）
金星,Venus,蠍座,Scorpio,深い・変容的・全か無かの愛,全か無かの激しい恋愛。魂の深いところで繋がることを求める。強烈な感情的・肉体的な親密さを求める。,神秘的で深みのある人・感情的に強い人・変容を恐れない人,神秘的でセクシーなスタイル。暗い色と深みのある美を好む。,深い親密さ・変容・忠誠心・感情的な誠実さ,嫉妬深く独占欲が強い。裏切りには容赦しない。深く変容的な関係を求める。,深い愛情・変容力・忠誠心,嫉妬・独占欲・復讐心,デトリメント（障害）
金星,Venus,射手座,Sagittarius,自由・冒険・哲学的な愛,自由奔放で束縛を嫌う。知的に刺激し合える相手を求める。冒険と成長を共にできる関係を理想とする。,自由で冒険的な人・知的で哲学的な人・異文化の背景を持つ人,自由でボヘミアンなスタイル。旅と異文化の影響を受けたファッション。,自由・冒険・知識・哲学的な成長,束縛を嫌い、自由な関係を好む。長距離恋愛や異文化間の恋愛が多い。,楽観主義・冒険的な愛・知的な刺激,コミットメント恐怖・無責任・感情的な深みの欠如,なし（ペレグリン）
金星,Venus,山羊座,Capricorn,伝統的・責任感・長期的な愛,慎重で伝統的な恋愛スタイル。長期的な安定を求め、パートナーへの責任を大切にする。,社会的に成功した人・責任感のある人・伝統的な価値観を持つ人,クラシックで洗練されたスタイル。高品質で時代を超えたファッション。,安定・責任・社会的地位・長期的なコミットメント,感情表現は控えめだが、深く誠実に愛する。実用的なサポートで愛情を表す。,誠実さ・責任感・長期的なコミットメント,感情表現の苦手さ・冷淡・物質主義,エグザルテーション（高揚）
金星,Venus,水瓶座,Aquarius,友情・独立・革新的な愛,友情から始まる恋愛を好む。知的な繋がりを最重視し、自由と独立を尊重し合える関係を求める。,独自性のある人・社会的な意識を持つ人・友人のような関係を築ける人,個性的で革新的なスタイル。既存のトレンドに縛られない独自のファッション。,自由・独立・友情・知的な繋がり,感情的な親密さより知的な繋がりを重視。非伝統的な関係形態を好む傾向。,独自性・友情的な愛・自由の尊重,感情的な距離感・非現実的な理想・コミットメントの苦手さ,なし（ペレグリン）
金星,Venus,魚座,Pisces,無条件の愛・霊的な繋がり・犠牲的な愛,ロマンティックで理想主義的。魂の繋がりを求め、無条件の愛を与える。相手に溶け込みすぎて自分を失うことも。,芸術的で感受性豊かな人・霊的な深みのある人・助けを必要としている人,夢幻的で柔らかいスタイル。水の要素を感じさせる流れるようなファッション。,無条件の愛・霊的な繋がり・共感・芸術,理想の愛を求め、現実の関係に幻滅することも。自己犠牲的な愛のパターンに注意。,深い共感・無条件の愛・霊的な繋がり,自己犠牲・現実逃避・依存傾向,エグザルテーション（高揚）
